lat1,lon1,lat2,lon2,weight,type
40.804138,-73.937594,40.807754,-73.945495,0.777106,New_Connection
40.617618,-73.959399,40.625039,-73.960803,0.833642,MST
40.617618,-73.959399,40.615140,-73.974197,1.279078,New_Connection
40.617618,-73.959399,40.608670,-73.957734,1.004849,MST
40.893193,-73.857473,40.898379,-73.854376,0.632688,MST
40.893193,-73.857473,40.903125,-73.850620,1.245567,New_Connection
40.893193,-73.857473,40.883895,-73.862633,1.121194,New_Connection
40.893193,-73.857473,40.888022,-73.860341,0.623484,MST
40.742626,-73.953581,40.742216,-73.948916,0.395648,New_Connection
40.742626,-73.953581,40.731352,-73.954449,1.255743,New_Connection
40.742626,-73.953581,40.744065,-73.949724,0.362197,MST
40.768296,-73.981736,40.764664,-73.980658,0.413938,New_Connection
40.768296,-73.981736,40.768247,-73.981929,0.017142,MST
40.768296,-73.981736,40.773440,-73.982209,0.573372,MST
40.768296,-73.981736,40.775594,-73.976410,0.927192,New_Connection
40.644031,-73.964492,40.635082,-73.962793,1.005357,New_Connection
40.644031,-73.964492,40.650527,-73.962982,0.733470,MST
40.585307,-73.820558,40.588034,-73.813641,0.658118,MST
40.585307,-73.820558,40.580903,-73.835592,1.360767,New_Connection
40.585307,-73.820558,40.583209,-73.827559,0.635575,MST
40.760167,-73.975224,40.757107,-73.971920,0.439564,MST
40.760167,-73.975224,40.763972,-73.977450,0.462773,MST
40.760167,-73.975224,40.758663,-73.981329,0.540709,New_Connection
40.666235,-73.884079,40.672710,-73.890358,0.893769,New_Connection
40.666235,-73.884079,40.665449,-73.889395,0.456811,MST
40.740893,-74.001690,40.741040,-73.997871,0.322161,MST
40.740893,-74.001690,40.737826,-74.000201,0.363376,New_Connection
40.740893,-74.001690,40.739777,-74.002578,0.144901,MST
40.603923,-73.980353,40.611815,-73.981848,0.886579,New_Connection
40.603923,-73.980353,40.603217,-73.972361,0.679257,MST
40.829993,-73.891865,40.822181,-73.896736,0.960489,New_Connection
40.829993,-73.891865,40.828584,-73.879159,1.080463,New_Connection
40.829993,-73.891865,40.824073,-73.893064,0.665960,New_Connection
40.829993,-73.891865,40.826525,-73.886283,0.607689,MST
40.680429,-73.843853,40.681711,-73.837683,0.539459,MST
40.680429,-73.843853,40.684331,-73.832163,1.077000,New_Connection
40.680429,-73.843853,40.679843,-73.851470,0.645606,MST
40.749865,-73.862700,40.751730,-73.855334,0.654223,MST
40.749865,-73.862700,40.754622,-73.845625,1.532486,New_Connection
40.749865,-73.862700,40.748408,-73.876613,1.183155,New_Connection
40.749865,-73.862700,40.749145,-73.869527,0.580639,MST
40.646654,-73.901850,40.650573,-73.899485,0.479279,MST
